country,category,category_id,pages,total_results,videos,distinct_channels,shorts,short_channels,error
CA,Travel & Events,19,0,,0,0,0,0,HTTP 404
CA,Gaming,20,4,173,172,172,7,7,
CA,People & Blogs,22,2,72,72,72,4,4,
CA,Comedy,23,4,200,200,200,191,191,
CA,Entertainment,24,4,200,200,200,195,195,
CA,News & Politics,25,4,164,164,164,35,35,
CA,Howto & Style,26,4,200,200,200,191,191,
CA,Education,27,0,,0,0,0,0,HTTP 404
CA,Tech,28,4,200,200,200,107,107,
CA,Nonprofits,29,1,1,1,1,0,0,
AU,(generale),,4,200,200,200,31,31,
AU,Film & Animation,1,4,200,200,200,196,196,
AU,Autos & Vehicles,2,4,200,200,200,153,153,
AU,Music,10,1,30,30,26,11,10,
AU,Pets & Animals,15,4,200,200,200,196,196,
AU,Sports,17,4,200,200,200,185,185,
AU,Travel & Events,19,0,,0,0,0,0,HTTP 404
AU,Gaming,20,4,152,151,151,5,5,
AU,People & Blogs,22,1,46,46,46,3,3,
AU,Comedy,23,4,200,200,200,192,192,
AU,Entertainment,24,4,200,200,200,196,196,
AU,News & Politics,25,4,185,185,185,33,33,
AU,Howto & Style,26,4,200,200,200,188,188,
AU,Education,27,0,,0,0,0,0,HTTP 404
AU,Tech,28,4,200,200,200,98,98,
AU,Nonprofits,29,1,1,1,1,0,0,
MX,(generale),,4,200,199,199,23,23,
MX,Film & Animation,1,4,200,200,200,195,195,
MX,Autos & Vehicles,2,4,200,200,200,191,191,
MX,Music,10,1,30,30,28,6,6,
MX,Pets & Animals,15,4,200,200,200,197,197,
MX,Sports,17,4,200,200,200,183,183,
MX,Travel & Events,19,0,,0,0,0,0,HTTP 404
MX,Gaming,20,4,153,151,151,4,4,
MX,People & Blogs,22,1,9,9,9,3,3,
MX,Comedy,23,4,200,200,200,196,196,
MX,Entertainment,24,4,200,200,200,197,197,
MX,News & Politics,25,3,141,140,140,53,53,
MX,Howto & Style,26,4,200,200,200,198,198,
MX,Education,27,0,,0,0,0,0,HTTP 404
MX,Tech,28,4,186,185,185,134,134,
MX,Nonprofits,29,0,,0,0,0,0,HTTP 404
AR,(generale),,4,200,200,200,12,12,
AR,Film & Animation,1,4,200,200,200,198,198,
AR,Autos & Vehicles,2,4,200,200,200,175,175,
AR,Music,10,1,30,30,30,6,6,
AR,Pets & Animals,15,4,200,200,200,199,199,
AR,Sports,17,4,200,200,200,191,191,
AR,Travel & Events,19,0,,0,0,0,0,HTTP 404
AR,Gaming,20,3,136,135,135,4,4,
AR,People & Blogs,22,1,12,12,12,2,2,
AR,Comedy,23,4,200,200,200,198,198,
AR,Entertainment,24,4,200,200,200,195,195,
AR,News & Politics,25,4,160,160,160,48,48,
AR,Howto & Style,26,4,200,200,200,199,199,
AR,Education,27,0,,0,0,0,0,HTTP 404
AR,Tech,28,4,180,179,179,133,133,
AR,Nonprofits,29,0,,0,0,0,0,HTTP 404
KR,(generale),,4,200,200,200,21,21,
KR,Film & Animation,1,4,200,200,200,199,199,
KR,Autos & Vehicles,2,4,200,199,199,166,166,
KR,Music,10,1,30,30,22,6,5,
KR,Pets & Animals,15,4,200,200,200,195,195,
KR,Sports,17,4,200,199,199,194,194,
KR,Travel & Events,19,0,,0,0,0,0,HTTP 404
KR,Gaming,20,3,113,113,113,3,3,
KR,People & Blogs,22,1,9,9,9,0,0,
KR,Comedy,23,4,200,200,200,199,199,
KR,Entertainment,24,4,200,200,200,196,196,
KR,News & Politics,25,3,111,110,110,36,36,
KR,Howto & Style,26,4,200,200,200,171,171,
KR,Education,27,0,,0,0,0,0,HTTP 404
KR,Tech,28,3,144,140,140,87,87,
KR,Nonprofits,29,0,,0,0,0,0,HTTP 404
NL,(generale),,4,200,199,199,30,30,
NL,Film & Animation,1,4,200,200,200,184,184,
NL,Autos & Vehicles,2,4,200,200,200,174,174,
NL,Music,10,1,30,30,29,12,12,
NL,Pets & Animals,15,4,200,200,200,198,198,
NL,Sports,17,4,200,200,200,188,188,
NL,Travel & Events,19,0,,0,0,0,0,HTTP 404
NL,Gaming,20,3,111,110,110,6,6,
NL,People & Blogs,22,1,29,29,29,5,5,
NL,Comedy,23,4,200,199,199,195,195,
NL,Entertainment,24,4,200,200,200,190,190,
NL,News & Politics,25,4,193,193,193,58,58,
NL,Howto & Style,26,4,200,200,200,184,184,
NL,Education,27,0,,0,0,0,0,HTTP 404
NL,Tech,28,4,200,200,200,135,135,
NL,Nonprofits,29,0,,0,0,0,0,HTTP 404
PL,(generale),,4,200,197,197,48,48,
PL,Film & Animation,1,4,200,200,200,191,191,
PL,Autos & Vehicles,2,4,200,200,200,167,167,
PL,Music,10,1,30,30,26,18,16,
PL,Pets & Animals,15,4,200,200,200,198,198,
PL,Sports,17,4,200,200,200,185,185,
PL,Travel & Events,19,0,,0,0,0,0,HTTP 404
PL,Gaming,20,3,105,102,102,5,5,
PL,People & Blogs,22,1,11,11,11,3,3,
PL,Comedy,23,4,200,199,199,195,195,
PL,Entertainment,24,4,200,200,200,195,195,
PL,News & Politics,25,3,149,149,149,29,29,
PL,Howto & Style,26,4,200,200,200,181,181,
PL,Education,27,0,,0,0,0,0,HTTP 404
PL,Tech,28,4,198,198,198,136,136,
PL,Nonprofits,29,0,,0,0,0,0,HTTP 404
SE,(generale),,4,200,199,199,18,18,
SE,Film & Animation,1,4,200,200,200,190,190,
SE,Autos & Vehicles,2,4,200,200,200,157,157,
SE,Music,10,1,30,30,28,8,8,
SE,Pets & Animals,15,4,200,200,200,197,197,
SE,Sports,17,4,200,200,200,190,190,
SE,Travel & Events,19,0,,0,0,0,0,HTTP 404
SE,Gaming,20,3,105,104,104,5,5,
SE,People & Blogs,22,1,15,15,15,0,0,
SE,Comedy,23,4,200,199,199,196,196,
SE,Entertainment,24,4,200,200,200,194,194,
SE,News & Politics,25,4,168,168,168,21,21,
SE,Howto & Style,26,4,200,200,200,174,174,
SE,Education,27,0,,0,0,0,0,HTTP 404
SE,Tech,28,3,150,150,150,95,95,
SE,Nonprofits,29,0,,0,0,0,0,HTTP 404
NO,(generale),,4,200,199,199,31,31,
NO,Film & Animation,1,4,200,200,200,188,188,
NO,Autos & Vehicles,2,4,200,200,200,150,150,
NO,Music,10,1,18,18,16,6,4,
NO,Pets & Animals,15,4,200,200,200,198,198,
NO,Sports,17,4,200,200,200,187,187,
NO,Travel & Events,19,0,,0,0,0,0,HTTP 404
NO,Gaming,20,3,118,117,117,5,5,
NO,People & Blogs,22,1,3,3,3,0,0,
NO,Comedy,23,4,200,199,199,192,192,
NO,Entertainment,24,4,200,199,199,196,196,
NO,News & Politics,25,3,113,113,113,12,12,
NO,Howto & Style,26,4,200,200,200,187,187,
NO,Education,27,0,,0,0,0,0,HTTP 404
NO,Tech,28,2,70,70,70,52,52,
NO,Nonprofits,29,0,,0,0,0,0,HTTP 404
FI,(generale),,4,200,199,199,38,38,
FI,Film & Animation,1,4,200,200,200,194,194,
FI,Autos & Vehicles,2,4,200,200,200,155,155,
FI,Music,10,1,29,29,24,13,11,
FI,Pets & Animals,15,4,200,200,200,199,199,
FI,Sports,17,4,200,200,200,183,183,
FI,Travel & Events,19,0,,0,0,0,0,HTTP 404
FI,Gaming,20,2,98,97,97,8,8,
FI,People & Blogs,22,1,5,5,5,0,0,
FI,Comedy,23,4,200,199,199,190,190,
FI,Entertainment,24,4,200,199,199,195,195,
FI,News & Politics,25,2,83,83,83,10,10,
FI,Howto & Style,26,4,200,200,200,161,161,
FI,Education,27,0,,0,0,0,0,HTTP 404
FI,Tech,28,2,71,71,71,53,53,
FI,Nonprofits,29,0,,0,0,0,0,HTTP 404
DK,(generale),,4,200,200,200,30,30,
DK,Film & Animation,1,4,200,200,200,181,181,
DK,Autos & Vehicles,2,4,200,200,200,153,153,
DK,Music,10,1,22,22,20,7,5,
DK,Pets & Animals,15,4,200,200,200,197,197,
DK,Sports,17,4,200,200,200,185,185,
DK,Travel & Events,19,0,,0,0,0,0,HTTP 404
DK,Gaming,20,3,106,105,105,4,4,
DK,People & Blogs,22,1,6,6,6,0,0,
DK,Comedy,23,4,200,199,199,193,193,
DK,Entertainment,24,4,200,200,200,191,191,
DK,News & Politics,25,2,93,93,93,13,13,
DK,Howto & Style,26,4,200,200,200,151,151,
DK,Education,27,0,,0,0,0,0,HTTP 404
DK,Tech,28,2,69,69,69,50,50,
DK,Nonprofits,29,0,,0,0,0,0,HTTP 404
ZA,(generale),,4,200,199,199,15,15,
ZA,Film & Animation,1,4,200,199,199,186,186,
ZA,Autos & Vehicles,2,4,200,199,199,175,175,
ZA,Music,10,1,30,30,21,1,1,
ZA,Pets & Animals,15,4,200,200,200,196,196,
ZA,Sports,17,4,200,199,199,189,189,
ZA,Travel & Events,19,0,,0,0,0,0,HTTP 404
ZA,Gaming,20,2,93,92,92,0,0,
ZA,People & Blogs,22,1,35,35,35,2,2,
ZA,Comedy,23,4,200,199,199,186,186,
ZA,Entertainment,24,4,200,199,199,193,193,
ZA,News & Politics,25,4,187,187,187,22,22,
ZA,Howto & Style,26,4,200,199,199,189,189,
ZA,Education,27,0,,0,0,0,0,HTTP 404
ZA,Tech,28,3,145,145,145,108,108,
ZA,Nonprofits,29,0,,0,0,0,0,HTTP 404
TR,(generale),,4,200,200,200,45,45,
TR,Film & Animation,1,4,200,199,199,180,180,
TR,Autos & Vehicles,2,4,200,200,200,195,195,
TR,Music,10,1,30,30,30,13,13,
TR,Pets & Animals,15,4,200,200,200,200,200,
TR,Sports,17,4,190,190,190,172,172,
TR,Travel & Events,19,0,,0,0,0,0,HTTP 404
TR,Gaming,20,2,91,90,90,1,1,
TR,People & Blogs,22,1,18,18,18,14,14,
TR,Comedy,23,4,200,200,200,200,200,
TR,Entertainment,24,4,200,200,200,185,185,
TR,News & Politics,25,2,96,96,96,22,22,
TR,Howto & Style,26,4,200,200,200,192,192,
TR,Education,27,0,,0,0,0,0,HTTP 404
TR,Tech,28,4,187,187,187,144,144,
TR,Nonprofits,29,0,,0,0,0,0,HTTP 404
CH,(generale),,4,200,200,200,51,51,
CH,Film & Animation,1,4,200,200,200,177,177,
CH,Autos & Vehicles,2,4,200,200,200,170,170,
CH,Music,10,1,30,30,28,10,9,
CH,Pets & Animals,15,4,200,200,200,199,199,
CH,Sports,17,4,200,200,200,180,180,
CH,Travel & Events,19,0,,0,0,0,0,HTTP 404
CH,Gaming,20,3,106,106,106,5,5,
CH,People & Blogs,22,1,17,17,17,1,1,
CH,Comedy,23,4,200,199,199,187,187,
CH,Entertainment,24,4,200,200,200,190,190,
