channel_key,upload_rank,age_days
3780e4211e62,18,16.57
3780e4211e62,19,16.59
3780e4211e62,20,16.61
3780e4211e62,21,17.57
3780e4211e62,22,17.61
3780e4211e62,23,18.61
3780e4211e62,24,19.61
3780e4211e62,25,20.57
3780e4211e62,26,20.59
3780e4211e62,27,20.61
3780e4211e62,28,21.59
3780e4211e62,29,21.61
3780e4211e62,30,22.55
3780e4211e62,31,22.61
3780e4211e62,32,23.59
3780e4211e62,33,23.61
3780e4211e62,34,24.59
3780e4211e62,35,24.61
3780e4211e62,36,26.59
3780e4211e62,37,26.61
3780e4211e62,38,28.61
3780e4211e62,39,30.59
3780e4211e62,40,30.61
3780e4211e62,41,31.59
3780e4211e62,42,31.61
3780e4211e62,43,32.51
3780e4211e62,44,32.6
3780e4211e62,45,33.59
3780e4211e62,46,33.61
3780e4211e62,47,35.59
3780e4211e62,48,35.61
3780e4211e62,49,36.61
3780e4211e62,50,37.59
b45f4aa25e8a,1,4.24
b45f4aa25e8a,2,7.06
b45f4aa25e8a,3,26.35
b45f4aa25e8a,4,28.13
b45f4aa25e8a,5,44.34
b45f4aa25e8a,6,46.14
b45f4aa25e8a,7,48.1
b45f4aa25e8a,8,50.0
b45f4aa25e8a,9,81.34
b45f4aa25e8a,10,85.97
b45f4aa25e8a,11,87.34
b45f4aa25e8a,12,91.01
b45f4aa25e8a,13,91.34
b45f4aa25e8a,14,95.33
b45f4aa25e8a,15,108.35
b45f4aa25e8a,16,110.24
b45f4aa25e8a,17,113.11
b45f4aa25e8a,18,118.37
b45f4aa25e8a,19,119.11
b45f4aa25e8a,20,120.24
b45f4aa25e8a,21,120.42
b45f4aa25e8a,22,121.34
b45f4aa25e8a,23,122.1
b45f4aa25e8a,24,122.3
b45f4aa25e8a,25,125.02
b45f4aa25e8a,26,126.1
b45f4aa25e8a,27,127.12
b45f4aa25e8a,28,137.05
b45f4aa25e8a,29,142.01
b45f4aa25e8a,30,147.09
b45f4aa25e8a,31,150.36
b45f4aa25e8a,32,152.12
b45f4aa25e8a,33,162.08
b45f4aa25e8a,34,167.35
b45f4aa25e8a,35,170.23
b45f4aa25e8a,36,171.36
b45f4aa25e8a,37,172.35
b45f4aa25e8a,38,173.13
b45f4aa25e8a,39,173.36
b45f4aa25e8a,40,174.4
b45f4aa25e8a,41,175.36
b45f4aa25e8a,42,176.41
b45f4aa25e8a,43,177.36
b45f4aa25e8a,44,179.12
b45f4aa25e8a,45,181.36
b45f4aa25e8a,46,183.36
b45f4aa25e8a,47,185.36
b45f4aa25e8a,48,187.36
b45f4aa25e8a,49,189.36
b45f4aa25e8a,50,191.36
53d414b646e8,1,0.22
53d414b646e8,2,0.24
53d414b646e8,3,0.76
53d414b646e8,4,1.0
53d414b646e8,5,1.11
53d414b646e8,6,1.86
53d414b646e8,7,2.01
53d414b646e8,8,2.18
53d414b646e8,9,2.73
53d414b646e8,10,2.88
53d414b646e8,11,2.89
53d414b646e8,12,3.04
53d414b646e8,13,3.22
53d414b646e8,14,3.75
53d414b646e8,15,3.81
53d414b646e8,16,4.0
53d414b646e8,17,4.12
53d414b646e8,18,4.24
53d414b646e8,19,4.37
53d414b646e8,20,4.69
53d414b646e8,21,4.74
53d414b646e8,22,4.94
53d414b646e8,23,5.11
53d414b646e8,24,5.26
53d414b646e8,25,5.26
53d414b646e8,26,5.8
53d414b646e8,27,5.95
53d414b646e8,28,6.16
53d414b646e8,29,6.7
53d414b646e8,30,6.84
53d414b646e8,31,7.0
53d414b646e8,32,7.8
53d414b646e8,33,7.93
53d414b646e8,34,8.05
53d414b646e8,35,8.31
53d414b646e8,36,8.8
53d414b646e8,37,8.99
53d414b646e8,38,9.17
53d414b646e8,39,9.84
53d414b646e8,40,9.99
53d414b646e8,41,10.19
53d414b646e8,42,10.81
53d414b646e8,43,11.01
53d414b646e8,44,11.16
53d414b646e8,45,11.36
53d414b646e8,46,11.87
53d414b646e8,47,12.06
53d414b646e8,48,12.24
53d414b646e8,49,12.83
53d414b646e8,50,13.01
f47abe4aa62d,1,0.01
f47abe4aa62d,2,0.86
f47abe4aa62d,3,1.15
